type;name;role;age;season;nation;from;to;market_value;value
"Acquisto";"Simone Emmanuello";"Centrale";"24";18/19";"Italia";"Cesena";"Atalanta BC";"600 mila ";"600 mila  Fine prestito 30/giu/2018"
"Acquisto";"Davide Merelli";"Portiere";"22";18/19";"Italia";"Padova";"Atalanta BC";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Gaetano Monachello";"Punta centrale";"24";18/19";"Italia";"Ascoli";"Atalanta BC";"550 mila ";"550 mila  Fine prestito 30/giu/2018"
"Acquisto";"Gabriel Lunetta";"Ala sinistra";"21";18/19";"Italia";"Renate";"Atalanta BC";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Fabio Eguelfi";"Terzino sinistro";"23";18/19";"Italia";"Cesena";"Atalanta BC";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Eleuteri";"Terzino destro";"20";18/19";"Italia";"Monopoli";"Atalanta BC";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Luca Zanotti";"Portiere";"24";18/19";"Italia";"Juve Stabia";"Atalanta BC";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Turrin";"Portiere";"21";18/19";"Italia";"Reggina";"Atalanta BC";"125 mila ";"125 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bryan Cabezas";"Ala sinistra";"21";18/19";"Ecuador";"Avellino";"Atalanta BC";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Davide Agazzi";"Centrale";"25";18/19";"Italia";"Foggia";"Atalanta BC";"500 mila ";"500 mila  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Boffelli";"Difensore centrale";"21";18/19";"Italia";"Mestre";"Atalanta BC";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Doudou Mangni";"Punta centrale";"25";18/19";"Italia";"Monopoli";"Atalanta BC";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Michele Canini";"Difensore centrale";"33";18/19";"Italia";"Cremonese";"Atalanta BC";"250 mila ";"250 mila  Fine prestito 30/giu/2018"
"Acquisto";"Tommaso Tentoni";"Terzino destro";"21";18/19";"Italia";"Carrarese";"Atalanta BC";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Emanuele Suagher";"Difensore centrale";"25";18/19";"Italia";"Cesena";"Atalanta BC";"400 mila ";"400 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alberto Paloschi";"Punta centrale";"28";18/19";"Italia";"SPAL";"Atalanta BC";"3,50 mln ";"3,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Marco D'Alessandro";"Ala destra";"27";18/19";"Italia";"Benevento";"Atalanta BC";"2,50 mln ";"2,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Mirco Miori";"Portiere";"22";18/19";"Italia";"Triestina";"Atalanta BC";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Janis Cavagna";"Mediano";"23";18/19";"Italia";"Pro Piacenza";"Atalanta BC";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Modou Badjie";"Centrale";"21";18/19";"Gambia";"Catanzaro";"Atalanta BC";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Berat Djimsiti";"Difensore centrale";"25";18/19";"Albania";"Benevento";"Atalanta BC";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Stefano Cason";"Difensore centrale";"22";18/19";"Italia";"Catanzaro";"Atalanta BC";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Cessione";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Roma";"25,00 mln ";"25,00 mln  Spesa prestito: 5,00 mln "
"Cessione";"Jasmin Kurtic";"Centrale";"29";18/19";"Slovenia";"Atalanta BC";"SPAL";"5,00 mln ";"5,00 mln  4,80 mln "
"Cessione";"Alberto Paloschi";"Punta centrale";"28";18/19";"Italia";"Atalanta BC";"SPAL";"3,50 mln ";"3,50 mln  4,00 mln "
"Cessione";"Andrea Petagna";"Punta centrale";"23";18/19";"Italia";"Atalanta BC";"SPAL";"9,00 mln ";"9,00 mln  Spesa prestito: 3,00 mln "
"Cessione";"Janis Cavagna";"Mediano";"23";18/19";"Italia";"Atalanta BC";"Reggio Audace";"100 mila ";"100 mila  gratuito"
"Cessione";"Antonio Palma";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Giana Erminio";"375 mila ";"375 mila  gratuito"
"Cessione";"Giuseppe De Luca";"Punta centrale";"26";18/19";"Italia";"Atalanta BC";"Virtus Entella";"900 mila ";"900 mila  gratuito"
"Cessione";"Michele Canini";"Difensore centrale";"33";18/19";"Italia";"Atalanta BC";"Feralpisalò";"250 mila ";"250 mila  gratuito"
"Cessione";"Alberto Almici";"Terzino destro";"25";18/19";"Italia";"Atalanta BC";"Verona";"700 mila ";"700 mila  Prestito"
"Cessione";"Alessandro Santopadre";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Paganese";"75 mila ";"75 mila  Prestito"
"Cessione";"Luca Vido";"Punta centrale";"21";18/19";"Italia";"Atalanta BC";"Perugia";"700 mila ";"700 mila  Prestito"
"Cessione";"Gabriel Lunetta";"Ala sinistra";"22";18/19";"Italia";"Atalanta BC";"Giana Erminio";"175 mila ";"175 mila  Prestito"
"Cessione";"Marco Sportiello";"Portiere";"26";18/19";"Italia";"Atalanta BC";"Frosinone";"6,00 mln ";"6,00 mln  Prestito"
"Cessione";"Gaetano Monachello";"Punta centrale";"24";18/19";"Italia";"Atalanta BC";"Pescara";"550 mila ";"550 mila  Prestito"
"Cessione";"Valerio Nava";"Terzino destro";"24";18/19";"Italia";"Atalanta BC";"Pro Piacenza";"175 mila ";"175 mila  ?"
"Cessione";"Michele Messina";"Terzino destro";"22";18/19";"Italia";"Atalanta BC";"Viterbese";"125 mila ";"125 mila  ?"
"Cessione";"Giacomo Parigi";"Punta centrale";"22";18/19";"Italia";"Atalanta BC";"Paganese";"75 mila ";"75 mila  Prestito"
"Cessione";"Isnik Alimi";"Centrale";"24";18/19";"Albania";"Atalanta BC";"Rimini";"100 mila ";"100 mila  Prestito"
"Cessione";"Marco Carraro";"Mediano";"20";18/19";"Italia";"Atalanta BC";"Foggia";"800 mila ";"800 mila  Prestito"
"Cessione";"Simone Emmanuello";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Juventus U23";"600 mila ";"600 mila  ?"
"Cessione";"Alessandro Eleuteri";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Ravenna";"50 mila ";"50 mila  Prestito"
"Cessione";"Alberto Dossena";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Pistoiese";"350 mila ";"350 mila  Prestito"
"Cessione";"Nicolò Fazzi";"Centrocampista di destra";"23";18/19";"Italia";"Atalanta BC";"Livorno";"350 mila ";"350 mila  Prestito"
"Cessione";"Ákos Kecskés";"Difensore centrale";"22";18/19";"Ungheria";"Atalanta BC";"FC Lugano";"300 mila ";"300 mila  ?"
"Cessione";"Davide Merelli";"Portiere";"22";18/19";"Italia";"Atalanta BC";"Padova";"100 mila ";"100 mila  ?"
"Cessione";"Alex Redolfi";"Difensore centrale";"24";18/19";"Italia";"Atalanta BC";"Reggina";"125 mila ";"125 mila  ?"
"Cessione";"Alessandro Turrin";"Portiere";"21";18/19";"Italia";"Atalanta BC";"V. Francavilla";"125 mila ";"125 mila  Prestito"
"Cessione";"Fabio Eguelfi";"Terzino sinistro";"23";18/19";"Italia";"Atalanta BC";"Verona";"700 mila ";"700 mila  Prestito"
"Cessione";"Mario Pugliese";"Centrale";"22";18/19";"Italia";"Atalanta BC";"Carrarese";"175 mila ";"175 mila  Prestito"
"Cessione";"Andreas Cornelius";"Punta centrale";"25";18/19";"Danimarca";"Atalanta BC";"G. Bordeaux";"3,00 mln ";"3,00 mln  Prestito"
"Cessione";"Stefano Cason";"Difensore centrale";"22";18/19";"Italia";"Atalanta BC";"V. Francavilla";"75 mila ";"75 mila  ?"
"Cessione";"Tiziano Tulissi";"Ala destra";"20";18/19";"Italia";"Atalanta BC";"Reggina";"225 mila ";"225 mila  Prestito"
"Cessione";"Emanuele Suagher";"Difensore centrale";"25";18/19";"Italia";"Atalanta BC";"Carpi";"400 mila ";"400 mila  Prestito"
"Cessione";"Andrea Boffelli";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Pro Patria";"75 mila ";"75 mila  Prestito"
"Cessione";"Tommaso Tentoni";"Terzino destro";"21";18/19";"Italia";"Atalanta BC";"Alessandria";"200 mila ";"200 mila  Prestito"
"Cessione";"Filippo Melegoni";"Mediano";"19";18/19";"Italia";"Atalanta BC";"Pescara";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Anton Kresic";"Difensore centrale";"22";18/19";"Croazia";"Atalanta BC";"Cremonese";"300 mila ";"300 mila  Prestito"
"Cessione";"Roberto Ranieri";"Centrale";"21";18/19";"Italia";"Atalanta BC";"Teramo";"150 mila ";"150 mila  Prestito"
"Cessione";"Marco D'Alessandro";"Ala destra";"27";18/19";"Italia";"Atalanta BC";"Udinese";"2,50 mln ";"2,50 mln  Prestito"
"Cessione";"Bryan Cabezas";"Ala sinistra";"21";18/19";"Ecuador";"Atalanta BC";"Fluminense";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Modou Badjie";"Centrale";"21";18/19";"Gambia";"Atalanta BC";"Rimini";"50 mila ";"50 mila  Prestito"
"Cessione";"Simone Mazzocchi";"Punta centrale";"19";18/19";"Italia";"Atalanta BC";"Südtirol";"250 mila ";"250 mila  Prestito"
"Cessione";"Boris Radunović";"Portiere";"22";18/19";"Serbia";"Atalanta BC";"Cremonese";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Stefano Mazzini";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Carrarese";"75 mila ";"75 mila  Prestito"
"Cessione";"João Schmidt";"Centrale";"25";18/19";"Brasile";"Atalanta BC";"Rio Ave FC";"700 mila ";"700 mila  Prestito"
"Cessione";"Riccardo Gatti";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Monopoli";"100 mila ";"100 mila  Prestito"
"Cessione";"Patrick Asmah";"Terzino sinistro";"22";18/19";"Ghana";"Atalanta BC";"FK Senica";"200 mila ";"200 mila  Prestito"
"Cessione";"Christian Mora";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Pro Patria";"150 mila ";"150 mila  Prestito"
"Cessione";"Nicolas La Vigna";"Mediano";"21";18/19";"Italia";"Atalanta BC";"Pontedera";"150 mila ";"150 mila  Prestito"
"Cessione";"Salvatore Molina";"Centrocampista di destra";"26";18/19";"Italia";"Atalanta BC";"Crotone";"800 mila ";"800 mila  ?"
"Cessione";"Doudou Mangni";"Punta centrale";"25";18/19";"Italia";"Atalanta BC";"Monopoli";"75 mila ";"75 mila  ?"
"Cessione";"Federico Mattiello";"Terzino destro";"23";18/19";"Italia";"Atalanta BC";"Bologna";"2,50 mln ";"2,50 mln  Prestito"
"Cessione";"Luca Milesi";"Difensore centrale";"25";18/19";"Italia";"Atalanta BC";"Pro Vercelli";"200 mila ";"200 mila  ?"
"Cessione";"Davide Agazzi";"Centrale";"25";18/19";"Italia";"Atalanta BC";"Livorno";"500 mila ";"500 mila  Prestito"
"Cessione";"Nicolas Haas";"Centrale";"22";18/19";"Svizzera";"Atalanta BC";"Palermo";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Guido Marilungo";"Seconda punta";"29";18/19";"Italia";"Atalanta BC";"-";"700 mila ";"700 mila  -"
"Cessione";"Constantin Nica";"Terzino destro";"25";18/19";"Romania";"Atalanta BC";"-";"100 mila ";"100 mila  -"
"Cessione";"Leonardo Spinazzola";"Terzino sinistro";"25";18/19";"Italia";"Atalanta BC";"Juventus";"12,00 mln ";"12,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Benfica";"25,00 mln ";"25,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Pierluigi Gollini";"Portiere";"23";18/19";"Italia";"Atalanta BC";"Aston Villa";"3,50 mln ";"3,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Luca Rizzo";"Centrale";"26";18/19";"Italia";"Atalanta BC";"Bologna";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Mattia Caldara";"Difensore centrale";"24";18/19";"Italia";"Atalanta BC";"Juventus";"25,00 mln ";"25,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Alessandro Bastoni";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Inter";"2,50 mln ";"2,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Diego Falcinelli";"Punta centrale";"27";18/19";"Italia";"Sassuolo";"Bologna FC 1909";"3,80 mln ";"3,80 mln  10,00 mln "
"Acquisto";"Lukasz Skorupski";"Portiere";"27";18/19";"Polonia";"Roma";"Bologna FC 1909";"7,00 mln ";"7,00 mln  9,00 mln "
"Acquisto";"Federico Santander";"Punta centrale";"27";18/19";"Paraguay";"FC Copenhagen";"Bologna FC 1909";"2,00 mln ";"2,00 mln  6,00 mln "
"Acquisto";"Mattias Svanberg";"Mediano";"19";18/19";"Svezia";"Malmö FF";"Bologna FC 1909";"750 mila ";"750 mila  4,50 mln "
"Acquisto";"Felipe Avenatti";"Punta centrale";"25";18/19";"Uruguay";"Luqueño";"Bologna FC 1909";"1,20 mln ";"1,20 mln  3,50 mln "
"Acquisto";"Arturo Calabresi";"Difensore centrale";"22";18/19";"Italia";"Roma";"Bologna FC 1909";"700 mila ";"700 mila  200 mila "
"Acquisto";"Mitchell Dijks";"Terzino sinistro";"25";18/19";"Olanda";"AFC Ajax";"Bologna FC 1909";"1,50 mln ";"1,50 mln  gratuito"
"Acquisto";"Federico Mattiello";"Terzino destro";"23";18/19";"Italia";"Atalanta";"Bologna FC 1909";"2,50 mln ";"2,50 mln  Prestito"
"Acquisto";"Danilo";"Difensore centrale";"34";18/19";"Brasile";"Udinese";"Bologna FC 1909";"1,00 mln ";"1,00 mln  Prestito"
"Acquisto";"Mouhamadou Sarr";"Portiere";"21";18/19";"Senegal";"Carrarese";"Bologna FC 1909";"75 mila ";"75 mila  Fine prestito 19/ago/2018"
"Acquisto";"Kingsley Michael";"Centrale";"18";18/19";"Nigeria";"Bologna U19";"Bologna FC 1909";"50 mila ";"50 mila  -"
"Acquisto";"Fabrizio Brignani";"Difensore centrale";"20";18/19";"Italia";"Bologna U19";"Bologna FC 1909";"75 mila ";"75 mila  -"
"Acquisto";"Lorenzo Musto";"Punta centrale";"22";18/19";"Italia";"Arzachena";"Bologna FC 1909";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bálint Vécsei";"Trequartista";"24";18/19";"Ungheria";"FC Lugano";"Bologna FC 1909";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Giordano Trovade";"Centrale";"20";18/19";"Italia";"Mosta FC";"Bologna FC 1909";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Mouhamadou Sarr";"Portiere";"21";18/19";"Senegal";"Prato";"Bologna FC 1909";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Emanuele Monari";"Portiere";"20";18/19";"Italia";"Sasso Marconi";"Bologna FC 1909";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Luca Rizzo";"Centrale";"26";18/19";"Italia";"Atalanta";"Bologna FC 1909";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Lorenzo Colli";"Trequartista";"21";18/19";"Italia";"Prato";"Bologna FC 1909";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Nehuén Paz";"Difensore centrale";"25";18/19";"Argentina";"Lanús";"Bologna FC 1909";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Acquisto";"Filippo Perucchini";"Portiere";"26";18/19";"Italia";"Lecce";"Bologna FC 1909";"400 mila ";"400 mila  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Vassallo";"Ala sinistra";"20";18/19";"Italia";"Carrarese";"Bologna FC 1909";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Marios Oikonomou";"Difensore centrale";"25";18/19";"Grecia";"Bari";"Bologna FC 1909";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Deian Boldor";"Difensore centrale";"23";18/19";"Romania";"Verona";"Bologna FC 1909";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Orji Okwonkwo";"Ala sinistra";"20";18/19";"Nigeria";"Brescia";"Bologna FC 1909";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Alex Ferrari";"Difensore centrale";"23";18/19";"Italia";"Verona";"Bologna FC 1909";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Vincenzo Silvestro";"Centrale";"19";18/19";"Italia";"Pordenone";"Bologna FC 1909";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bruno Petkovic";"Punta centrale";"23";18/19";"Croazia";"Verona";"Bologna FC 1909";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Filippo Falco";"Trequartista";"26";18/19";"Italia";"Pescara";"Bologna FC 1909";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Simone Verdi";"Ala destra";"25";18/19";"Italia";"Bologna FC 1909";"Napoli";"25,00 mln ";"25,00 mln  25,00 mln "
"Cessione";"Federico Di Francesco";"Ala sinistra";"24";18/19";"Italia";"Bologna FC 1909";"Sassuolo";"3,50 mln ";"3,50 mln  10,00 mln "
"Cessione";"Adam Masina";"Terzino sinistro";"24";18/19";"Italia";"Bologna FC 1909";"Watford";"7,00 mln ";"7,00 mln  5,00 mln "
"Cessione";"Antonio Mirante";"Portiere";"34";18/19";"Italia";"Bologna FC 1909";"Roma";"1,00 mln ";"1,00 mln  4,00 mln "
"Cessione";"Deian Boldor";"Difensore centrale";"23";18/19";"Romania";"Bologna FC 1909";"Verona";"200 mila ";"200 mila  100 mila "
"Cessione";"Emanuele Monari";"Portiere";"20";18/19";"Italia";"Bologna FC 1909";"Sasso Marconi";"50 mila ";"50 mila  gratuito"
"Cessione";"Marios Oikonomou";"Difensore centrale";"25";18/19";"Grecia";"Bologna FC 1909";"AEK Atene";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Vincenzo Silvestro";"Centrale";"19";18/19";"Italia";"Bologna FC 1909";"Mantova";"50 mila ";"50 mila  gratuito"
"Cessione";"Filippo Falco";"Trequartista";"26";18/19";"Italia";"Bologna FC 1909";"Lecce";"1,50 mln ";"1,50 mln  gratuito"
"Cessione";"Vasilios Torosidis";"Terzino destro";"33";18/19";"Grecia";"Bologna FC 1909";"Olympiacos";"700 mila ";"700 mila  gratuito"
"Cessione";"Alex Ferrari";"Difensore centrale";"24";18/19";"Italia";"Bologna FC 1909";"Sampdoria";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Bruno Petkovic";"Punta centrale";"23";18/19";"Croazia";"Bologna FC 1909";"Dinamo Zagabria";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Filippo Perucchini";"Portiere";"26";18/19";"Italia";"Bologna FC 1909";"Ascoli";"400 mila ";"400 mila  ?"
"Cessione";"Giordano Trovade";"Centrale";"20";18/19";"Italia";"Bologna FC 1909";"Ravenna";"75 mila ";"75 mila  Prestito"
"Cessione";"Luca Rizzo";"Centrale";"26";18/19";"Italia";"Bologna FC 1909";"Foggia";"2,00 mln ";"2,00 mln  Prestito"
"Cessione";"Lorenzo Crisetig";"Mediano";"25";18/19";"Italia";"Bologna FC 1909";"Frosinone";"1,70 mln ";"1,70 mln  Prestito"
"Cessione";"Bálint Vécsei";"Trequartista";"24";18/19";"Ungheria";"Bologna FC 1909";"FC Lugano";"200 mila ";"200 mila  ?"
"Cessione";"Emil Krafth";"Terzino destro";"24";18/19";"Svezia";"Bologna FC 1909";"SC Amiens";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Kingsley Michael";"Centrale";"18";18/19";"Nigeria";"Bologna FC 1909";"Perugia";"50 mila ";"50 mila  Prestito"
"Cessione";"Felipe Avenatti";"Punta centrale";"25";18/19";"Uruguay";"Bologna FC 1909";"KV Kortrijk";"1,20 mln ";"1,20 mln  Prestito"
"Cessione";"Andrea Vassallo";"Ala sinistra";"20";18/19";"Italia";"Bologna FC 1909";"Catania";"200 mila ";"200 mila  Prestito"
